en_word,it_word
the,il / la
be,essere
to,a / per
of,di
and,e
a,un / una
in,in
that,che / quello
have,avere
I,io
it,esso / lo
for,per
not,non
on,su
with,con
he,lui
as,come
you,tu / voi
do,fare
at,a
this,questo
but,ma
his,suo
by,da / per mezzo di
from,da
they,essi / loro
we,noi
say,dire
her,lei / sua
she,lei
or,o
an,un / una
will,volontà / (verbo futuro)
my,mio
one,uno
all,tutto
would,(verbo condizionale)
there,lì
their,loro
what,cosa
so,così
up,su
out,fuori
if,se
about,riguardo a
who,chi
get,ottenere
which,quale
go,andare
me,me
when,quando
make,fare / creare
can,potere
like,piacere / come
time,tempo
no,no
just,solo / giusto
him,lui
know,sapere / conoscere
take,prendere
people,persone
into,dentro
year,anno
your,tuo
good,buono
some,alcuni
could,potere (condizionale)
them,loro
see,vedere
other,altro
than,di (comparativo)
then,poi
now,adesso
look,guardare
only,solo
come,venire
its,suo (di cosa)
over,sopra
think,pensare
also,anche
back,indietro / schiena
after,dopo
use,usare
two,due
how,come
our,nostro
work,lavorare
first,primo
well,bene
way,modo / via
even,anche / perfino
new,nuovo
want,volere
because,perché
any,qualsiasi
these,questi
give,dare
day,giorno
most,la maggior parte
us,noi
is,è
are,sono
was,era
were,erano
had,aveva
been,stato
did,fece
shall,(verbo futuro formale)
may,potere / forse
must,dovere
name,nome
man,uomo
woman,donna
child,bambino
thing,cosa
life,vita
hand,mano
eye,occhio
place,posto
world,mondo
school,scuola
home,casa
house,abitazione
country,paese / nazione
family,famiglia
friend,amico
food,cibo
water,acqua
air,aria
fire,fuoco
animal,animale
dog,cane
cat,gatto
bird,uccello
fish,pesce
tree,albero
flower,fiore
sun,sole
moon,luna
star,stella
black,nero
white,bianco
red,rosso
blue,blu
green,verde
yellow,giallo
small,piccolo
big,grande
long,lungo
short,corto
happy,felice
sad,triste
angry,arrabbiato
love,amore / amare
fear,paura
run,correre
walk,camminare
sleep,dormire
eat,mangiare
drink,bere
speak,parlare
hear,sentire (udito)
see,vedere
smell,annusare
touch,toccare
think,pensare
learn,imparare
teach,insegnare
open,aprire
close,chiudere
start,iniziare
stop,fermarsi
win,vincere
lose,perdere
buy,comprare
sell,vendere
pay,pagare
send,inviare
build,costruire
break,rompere
write,scrivere
read,leggere
draw,disegnare
clean,pulire
cook,cucinare
wash,lavare
drive,guidare
fly,volare
swim,nuotare
sit,sedersi
stand,stare in piedi
fall,cadere
rain,piovere
snow,nevicare
hot,caldo
cold,freddo
morning,mattina
night,notte
today,oggi
tomorrow,domani
